Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1961","1961","ha","6857000","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1962","1962","ha","7283000","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1963","1963","ha","6731000","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1964","1964","ha","6980000","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1965","1965","ha","7327000","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1966","1966","ha","7691000","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1967","1967","ha","7516000","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1968","1968","ha","8020770","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1969","1969","ha","8013620","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1970","1970","ha","8135080","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1971","1971","ha","8324320","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1972","1972","ha","7897640","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1973","1973","ha","8403600","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1974","1974","ha","8508600","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1975","1975","ha","8495100","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1976","1976","ha","8368760","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1977","1977","ha","8359570","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1978","1978","ha","8929170","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1979","1979","ha","8803564","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1980","1980","ha","9005065","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1981","1981","ha","9381839","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1982","1982","ha","8988455","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1983","1983","ha","9162469","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1984","1984","ha","9763580","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1985","1985","ha","9902293","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1986","1986","ha","9988453","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1987","1987","ha","9922594","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1988","1988","ha","10138155","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1989","1989","ha","10531207","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1990","1990","ha","10502357","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1991","1991","ha","10281519","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1992","1992","ha","11103317","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1993","1993","ha","11012780","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1994","1994","ha","10733800","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1995","1995","ha","11438760","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1996","1996","ha","11569729","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1997","1997","ha","11140594","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1998","1998","ha","11730200","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","1999","1999","ha","11963204","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2000","2000","ha","11793000","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2001","2001","ha","11500000","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2002","2002","ha","11521166","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2003","2003","ha","11477357","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2004","2004","ha","11922974","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2005","2005","ha","11839060","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2006","2006","ha","11786430","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2007","2007","ha","12147637","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2008","2008","ha","12309155","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2009","2009","ha","12883576","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2010","2010","ha","13253450","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2011","2011","ha","13203643","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2012","2012","ha","13445524","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2013","2013","ha","13835252","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2014","2014","ha","13797307","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2015","2015","ha","14116638","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2016","2016","ha","15156000","","Official data"
"GR","Rice Cultivation","101","Indonesia","5312","Area harvested","27","Rice, paddy","2017","2017","ha","15788000","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1961","1961","ha","6120000","F","FAO estimate"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1962","1962","ha","6540000","F","FAO estimate"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1963","1963","ha","6500000","F","FAO estimate"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1964","1964","ha","6310000","F","FAO estimate"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1965","1965","ha","6270000","F","FAO estimate"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1966","1966","ha","7353000","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1967","1967","ha","6400000","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1968","1968","ha","6940000","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1969","1969","ha","7259000","","Official data"
"GR","Rice Cultivation","216","Thailand","5312","Area harvested","27","Rice, paddy","1970","1970","ha","6854000","","Official data"
